Ticker,release date,Estimate,Actural,Surprise,Group
ALL,20161102,1.624,1.26,-22.41%,1
MCK,20160127,3.796,3.18,-16.23%,1
HCP,20161101,0.415,0.3226,-22.27%,1
GOOGL,20161027,9.174,7.1418,-22.15%,1
ABC,20160802,1.667,1.37,-17.82%,1
WDC,20160428,1.512,1.21,-19.97%,1
FB,20161102,1.049,0.82,-21.83%,1
KMI,20161019,0.177,0.1538,-13.11%,1
AMP,20161025,2.512,1.37,-45.46%,1
SLB,20161020,0.313,0.25,-20.13%,1
CA,20160126,0.604,0.52,-13.91%,1
WY,20161028,0.285,0.23,-19.30%,1
ADM,20161101,0.724,0.59,-18.51%,1
CERN,20161101,0.601,0.49,-18.47%,1
ZBH,20161031,2.177,1.79,-17.78%,1
BXP,20161025,0.53,0.4361,-17.72%,1
HST,20161102,0.17,0.14,-17.65%,1
MDT,20160301,1.357,1.06,-21.89%,1
AKAM,20161025,0.667,0.4446,-33.34%,1
EW,20161025,0.82,0.68,-17.07%,1
CI,20161103,2.333,1.94,-16.85%,1
LVLT,20161031,0.475,0.3951,-16.82%,1
VNO,20161031,0.45,0.3745,-16.78%,1
ICE,20161101,0.77,0.642,-16.62%,1
FDX,20160316,3.461,2.51,-27.48%,1
AIZ,20161025,1.733,1,-42.30%,1
ARE,20161031,0.513,0.3367,-34.37%,1
ANTM,20161102,3.72,2.45,-34.14%,1
AET,20161027,2.415,2.07,-14.29%,1
AGN,20161102,3.87,3.32,-14.21%,1
QRVO,20160204,1.286,1.03,-19.91%,1
NI,20161101,0.617,0.06,-90.28%,1
AMZN,20161027,3.391,0.5196,-84.68%,1
DLR,20161027,0.355,0.1401,-60.54%,1
AAP,20161114,2.649,1.73,-34.69%,1
CHTR,20161103,1.314,0.5589,-57.47%,1
FCX,20161025,0.304,0.13,-57.24%,1
ALXN,20161027,1.312,0.5817,-55.66%,1
XOM,20161028,0.938,0.63,-32.84%,1
AIG,20161102,1.313,1,-23.84%,1
SYK,20161027,1.446,1.39,-3.87%,2
HON,20161021,1.664,1.6,-3.85%,2
ABBV,20161028,1.258,1.21,-3.82%,2
GWW,20161018,3.178,3.06,-3.71%,2
SCHW,20161017,0.355,0.3423,-3.58%,2
IRM,20161101,0.28,0.27,-3.57%,2
TRIP,20161108,0.424,0.4095,-3.42%,2
MNST,20161103,0.351,0.3393,-3.33%,2
CAG,20160407,0.63,0.57,-9.52%,2
PRGO,20161110,1.704,1.65,-3.17%,2
VZ,20161020,1.033,1.01,-2.23%,2
ESS,20161027,1.035,1.0032,-3.07%,2
PNC,20161014,1.88,1.84,-2.13%,2
ES,20161101,0.857,0.8328,-2.82%,2
LLY,20161025,0.905,0.88,-2.76%,2
UNH,20161018,2.231,2.17,-2.73%,2
AN,20161028,1.079,1.05,-2.69%,2
IVZ,20161027,0.616,0.6,-2.60%,2
PPL,20161101,0.646,0.63,-2.48%,2
QCOM,20160720,1.08,1.0781,-0.18%,2
CMCSA,20161026,0.451,0.46,2.00%,2
TMK,20161025,1.171,1.18,0.77%,2
BCR,20161025,2.58,2.64,2.33%,2
PFG,20161027,1.123,1.15,2.40%,2
KO,20161026,0.478,0.49,2.51%,2
EXPD,20161108,0.575,0.59,2.61%,2
BBT,20161019,0.766,0.76,-0.78%,2
CCI,20161020,0.32,0.3292,2.88%,2
AFL,20161027,1.769,1.82,2.88%,2
HOLX,20160727,0.505,0.51,0.99%,2
EFX,20161026,1.397,1.44,3.08%,2
RF,20161018,0.223,0.23,3.14%,2
GD,20161026,2.404,2.48,3.16%,2
ITW,20161020,1.454,1.5,3.16%,2
CNC,20161025,1.075,1.11,3.26%,2
ROP,20161031,1.68,1.65,-1.79%,2
JNPR,20161025,0.44,0.455,3.41%,2
CINF,20161025,0.83,0.86,3.61%,2
TROW,20161027,1.129,1.17,3.63%,2
CL,20161027,0.703,0.73,3.84%,2
XRX,20161028,0.237,0.27,13.92%,3
AES,20161104,0.28,0.32,14.29%,3
FITB,20161020,0.376,0.43,14.36%,3
STT,20161026,0.989,1.35,36.50%,3
TGNA,20161102,0.43,0.65,51.16%,3
CAT,20161025,0.74,0.85,14.86%,3
BLL,20161103,0.835,0.96,14.97%,3
MRK,20161025,0.927,1.07,15.43%,3
BK,20161020,0.818,0.9,10.02%,3
WU,20161101,0.4,0.4624,15.60%,3
FTV,20161027,0.575,0.67,16.52%,3
RCL,20161028,0.66,3.2,384.85%,3
SWK,20161027,1.433,1.68,17.24%,3
NSC,20161026,1.319,1.55,17.51%,3
TWX,20161102,1.581,1.83,15.75%,3
TXN,20161026,0.79,0.94,18.99%,3
URI,20161019,2.026,2.58,27.34%,3
WM,20161026,0.624,0.84,34.62%,3
ED,20161103,1.273,1.51,18.62%,3
UTX,20161025,1.483,1.76,18.68%,3
MCD,20161021,1.343,1.6245,20.96%,3
EXC,20161026,0.744,0.91,22.31%,3
XYL,20161101,0.406,0.54,33.00%,3
BEN,20160728,0.667,0.77,15.44%,3
VTR,20161028,0.38,0.4688,23.37%,3
FLIR,20161026,0.352,0.4351,23.61%,3
LUV,20161026,0.751,0.93,23.83%,3
TDC,20161027,0.477,0.5927,24.26%,3
AEP,20161101,1.036,1.3,25.48%,3
YHOO,20161018,0.146,0.1762,20.68%,3
ZION,20161024,0.482,0.54,12.03%,3
XEL,20161027,0.47,0.9,91.49%,3
SO,20161031,0.666,1.28,92.19%,3
ALK,20161020,1.134,2.2,94.00%,3
MOS,20161101,0.21,0.4102,95.33%,3
AJG,20161027,0.386,0.77,99.48%,3
AWK,20161102,0.521,1.05,101.54%,3
YUM,20161005,0.844,1.09,29.15%,3
MSI,20161103,0.662,1.37,106.95%,3
MLM,20161101,1.068,2.49,133.15%,3
